

BUFFER,FROM_INSTANCE.PORT,TO_INSTANCE.PORT,SIZE,MEMORY_GROUP,BANK,OFFSET,DMA_NEEDED
buf2122,myGraph.mm_x4_0_48.sp_b0.po3,myGraph.mm_x4_0_48.mm_x4[3].pi1,4096,"(49, 7)",3,4096,-
buf2121,myGraph.mm_x4_0_48.sp_a0.po3,myGraph.mm_x4_0_48.mm_x4[3].pi0,4096,"(49, 7)",3,0,-
sysmem1339,-,-,4260,"(49, 7)",2,0,-
sysmem1335,-,-,4260,"(49, 7)",1,0,-
buf585,myGraph.mm_x4_0_48.sp_a0.po3,myGraph.mm_x4_0_48.mm_x4[3].pi0,4096,"(49, 7)",0,0,-
buf595,myGraph.mm_x4_0_49.sp_b0.po2,myGraph.mm_x4_0_49.mm_x4[2].pi1,4096,"(48, 7)",3,4096,-
buf599,myGraph.mm_x4_0_49.mm_x4[3].po0,myGraph.mg_out[12].pi1,4096,"(48, 7)",2,0,-
buf596,myGraph.mm_x4_0_49.mm_x4[2].po0,myGraph.mm_x4_0_49.mm_x4[3].pi2,4096,"(48, 7)",2,4096,-
buf2132,myGraph.mm_x4_0_49.mm_x4[2].po0,myGraph.mm_x4_0_49.mm_x4[3].pi2,4096,"(48, 7)",1,4096,-
buf2131,myGraph.mm_x4_0_49.sp_b0.po2,myGraph.mm_x4_0_49.mm_x4[2].pi1,4096,"(48, 7)",0,0,-
buf597,myGraph.mm_x4_0_49.sp_a0.po3,myGraph.mm_x4_0_49.mm_x4[3].pi0,4096,"(48, 7)",0,4096,-
buf2158,myGraph.mm_x4_0_51.sp_b0.po3,myGraph.mm_x4_0_51.mm_x4[3].pi1,4096,"(47, 7)",3,4096,-
buf2146,myGraph.mm_x4_0_50.sp_b0.po3,myGraph.mm_x4_0_50.mm_x4[3].pi1,4096,"(47, 7)",2,4096,-
buf2144,myGraph.mm_x4_0_50.mm_x4[2].po0,myGraph.mm_x4_0_50.mm_x4[3].pi2,4096,"(47, 7)",2,0,-
buf622,myGraph.mm_x4_0_51.sp_b0.po3,myGraph.mm_x4_0_51.mm_x4[3].pi1,4096,"(47, 7)",1,4096,-
buf610,myGraph.mm_x4_0_50.sp_b0.po3,myGraph.mm_x4_0_50.mm_x4[3].pi1,4096,"(47, 7)",0,4096,-
buf608,myGraph.mm_x4_0_50.mm_x4[2].po0,myGraph.mm_x4_0_50.mm_x4[3].pi2,4096,"(47, 7)",0,0,-
buf620,myGraph.mm_x4_0_51.mm_x4[2].po0,myGraph.mm_x4_0_51.mm_x4[3].pi2,4096,"(46, 7)",3,0,-
buf2157,myGraph.mm_x4_0_51.sp_a0.po3,myGraph.mm_x4_0_51.mm_x4[3].pi0,4096,"(46, 7)",2,0,-
buf619,myGraph.mm_x4_0_51.sp_b0.po2,myGraph.mm_x4_0_51.mm_x4[2].pi1,4096,"(46, 7)",2,4096,-
buf2159,myGraph.mm_x4_0_51.mm_x4[3].po0,myGraph.mg_out[12].pi3,4096,"(46, 7)",1,4096,-
buf621,myGraph.mm_x4_0_51.sp_a0.po3,myGraph.mm_x4_0_51.mm_x4[3].pi0,4096,"(46, 7)",0,0,-
buf646,myGraph.mm_x4_0_53.sp_b0.po3,myGraph.mm_x4_0_53.mm_x4[3].pi1,4096,"(45, 7)",3,0,-
buf2182,myGraph.mm_x4_0_53.sp_b0.po3,myGraph.mm_x4_0_53.mm_x4[3].pi1,4096,"(45, 7)",0,0,-
buf632,myGraph.mm_x4_0_52.mm_x4[2].po0,myGraph.mm_x4_0_52.mm_x4[3].pi2,4096,"(45, 7)",0,4096,-
buf2181,myGraph.mm_x4_0_53.sp_a0.po3,myGraph.mm_x4_0_53.mm_x4[3].pi0,4096,"(44, 7)",3,4096,-
sysmem1355,-,-,4260,"(44, 7)",2,0,-
sysmem1354,-,-,4260,"(44, 7)",1,0,-
buf2194,myGraph.mm_x4_0_54.sp_b0.po3,myGraph.mm_x4_0_54.mm_x4[3].pi1,4096,"(43, 7)",3,4096,-
buf2190,myGraph.mm_x4_0_54.sp_a0.po2,myGraph.mm_x4_0_54.mm_x4[2].pi0,4096,"(43, 7)",3,0,-
sysmem1359,-,-,4260,"(43, 7)",2,0,-
sysmem1358,-,-,4260,"(43, 7)",1,0,-
buf2217,myGraph.mm_x4_0_56.sp_a0.po3,myGraph.mm_x4_0_56.mm_x4[3].pi0,4096,"(42, 7)",3,4096,-
buf2206,myGraph.mm_x4_0_55.sp_b0.po3,myGraph.mm_x4_0_55.mm_x4[3].pi1,4096,"(42, 7)",3,0,-
sysmem1363,-,-,4260,"(42, 7)",2,0,-
sysmem1362,-,-,4260,"(42, 7)",1,0,-
buf670,myGraph.mm_x4_0_55.sp_b0.po3,myGraph.mm_x4_0_55.mm_x4[3].pi1,4096,"(42, 7)",0,0,-
buf2229,myGraph.mm_x4_0_57.sp_a0.po3,myGraph.mm_x4_0_57.mm_x4[3].pi0,4096,"(41, 7)",3,4096,-
buf2218,myGraph.mm_x4_0_56.sp_b0.po3,myGraph.mm_x4_0_56.mm_x4[3].pi1,4096,"(41, 7)",3,0,-
sysmem1367,-,-,4260,"(41, 7)",2,0,-
sysmem1366,-,-,4260,"(41, 7)",1,0,-
buf2231,myGraph.mm_x4_0_57.mm_x4[3].po0,myGraph.mg_out[14].pi1,4096,"(40, 7)",3,4096,-
buf2228,myGraph.mm_x4_0_57.mm_x4[2].po0,myGraph.mm_x4_0_57.mm_x4[3].pi2,4096,"(40, 7)",2,0,-
buf2227,myGraph.mm_x4_0_57.sp_b0.po2,myGraph.mm_x4_0_57.mm_x4[2].pi1,4096,"(40, 7)",2,4096,-
buf2243,myGraph.mm_x4_0_58.mm_x4[3].po0,myGraph.mg_out[14].pi2,4096,"(39, 7)",3,4096,-
buf2242,myGraph.mm_x4_0_58.sp_b0.po3,myGraph.mm_x4_0_58.mm_x4[3].pi1,4096,"(39, 7)",3,0,-
buf2241,myGraph.mm_x4_0_58.sp_a0.po3,myGraph.mm_x4_0_58.mm_x4[3].pi0,4096,"(39, 7)",2,4096,-
buf2240,myGraph.mm_x4_0_58.mm_x4[2].po0,myGraph.mm_x4_0_58.mm_x4[3].pi2,4096,"(39, 7)",2,0,-
buf2254,myGraph.mm_x4_0_59.sp_b0.po3,myGraph.mm_x4_0_59.mm_x4[3].pi1,4096,"(38, 7)",3,0,-
buf2262,myGraph.mm_x4_0_60.sp_a0.po2,myGraph.mm_x4_0_60.mm_x4[2].pi0,4096,"(37, 7)",3,0,-
buf2264,myGraph.mm_x4_0_60.mm_x4[2].po0,myGraph.mm_x4_0_60.mm_x4[3].pi2,4096,"(37, 7)",2,0,-
buf726,myGraph.mm_x4_0_60.sp_a0.po2,myGraph.mm_x4_0_60.mm_x4[2].pi0,4096,"(37, 7)",2,4096,-
buf2263,myGraph.mm_x4_0_60.sp_b0.po2,myGraph.mm_x4_0_60.mm_x4[2].pi1,4096,"(37, 7)",1,0,-
